x,y
343.434846,860.102175
343.225728,859.953801
348.769818,869.345739
332.498600,856.782514
337.677180,852.416164
342.239455,827.051956
337.125930,845.874808
329.000432,832.819903
346.557054,826.161905
331.394346,833.983126
336.480574,826.756223
341.601994,824.645465
349.024867,832.099747
343.095995,811.532918
338.481445,806.997906
332.821864,790.615354
336.546945,807.395829
341.328170,792.151773
346.015310,792.672892
330.805732,784.659479
344.556593,788.305403
342.129350,772.574333
345.615671,761.696868
334.895753,787.698095
346.056588,762.950957
327.358872,755.189979
334.200787,769.310185
339.576503,757.818007
309.785500,753.658062
342.831341,758.911001
330.931572,751.956596
324.854001,716.639916
355.070446,714.576258
323.275124,693.543575
327.804424,713.904889
335.896182,703.568157
334.341068,707.378567
319.502288,710.015914
316.905911,683.856424
330.153310,685.275268
347.033068,691.378504
361.578123,677.558230
322.214819,647.360224
339.063953,685.289122
349.579665,650.511693
348.258678,648.698610
354.612353,652.297451
341.837047,631.702952
342.233795,641.276030
346.953069,628.726621
344.081797,606.057716
359.027893,600.971249
372.360026,578.560743
323.390106,592.868398
349.942848,564.141242
351.518130,562.794922
370.413426,562.301438
347.542064,541.164803
373.657212,505.574808
367.119322,515.159204
377.533207,487.548491
372.849215,473.514390
357.386383,487.039789
367.530211,497.062545
371.061587,460.702661
364.749583,490.972633
364.136266,460.143355
381.722628,443.421214
364.356066,464.629856
348.170487,436.436488
387.418764,410.508106
359.615453,408.092793
378.877471,409.269809
374.994529,398.503815
355.478035,387.093829
378.668791,385.915852
364.274598,379.579569
370.631323,390.464922
375.360703,374.608871
363.322593,349.810443
359.326397,342.476603
388.822453,359.618530
380.951383,335.038154
373.154330,323.902604
358.866365,314.544108
366.876039,297.529328
370.046819,301.105570
375.266236,298.626770
372.109978,285.175238
370.578258,290.009612
375.026799,269.829799
387.268577,268.245621
390.504099,249.670768
379.749361,242.982135
383.303451,255.657462
383.635921,248.326375
379.366015,263.165583
380.919946,237.007548
374.804251,228.746325
372.937876,219.945937
388.364181,219.328648
362.201254,219.540953
368.986575,189.443764
373.359375,192.586085
366.002067,190.305945
364.031126,184.338644
372.042319,167.215235
362.255116,173.955507
377.436387,168.848211
370.813474,155.272021
365.677524,164.925789
378.775205,150.700070
378.554542,127.094016
373.199359,130.260849
374.882817,127.101611
391.632686,126.144121
372.014305,136.960197
380.684080,108.268785
385.781034,104.788896
378.897721,105.438472
375.278446,86.990720
381.488987,89.868113
397.501363,71.254335
390.647488,69.426815
412.038342,29.938361
390.298826,57.004429
431.605181,64.495244
443.164593,32.435658
419.139323,50.697859
401.599244,75.900084
410.390762,69.852620
440.087742,61.064640
419.934380,85.825923
430.138416,80.914658
430.037668,77.485987
437.913572,79.052507
439.376984,66.071342
445.479105,69.050786
445.014575,80.122393
466.196972,78.853007
484.984754,57.673687
475.006883,95.148858
481.386454,66.039731
484.102968,83.930575
513.194880,118.761190
492.461493,125.241652
513.716433,121.874396
526.366626,99.314335
512.382526,116.020923
509.275629,111.035471
522.536572,105.028678
500.601837,103.613641
528.000225,111.865603
510.932267,115.055496
510.209073,109.588628
531.447244,111.782900
507.938518,115.590803
531.638159,94.844672
506.284897,101.636728
522.125142,117.882565
502.665126,162.432648
548.362201,95.703991
541.081031,122.840234
565.958719,121.361849
557.842236,121.916759
554.959390,143.141641
552.660592,131.332929
558.951818,149.599742
572.059728,140.217911
568.128736,144.782111
564.091233,146.609403
558.259837,165.035077
550.788641,167.843654
555.263167,145.197284
577.857248,148.501161
585.932731,147.761979
597.831045,162.540813
573.119900,169.026698
568.086856,180.419127
594.158846,191.603729
578.093821,183.350436
581.184089,195.969133
585.906036,186.973526
587.070820,205.113011
592.423881,203.152738
594.414681,222.954141
601.387098,239.685773
615.672217,233.141215
602.786834,236.192374
