x,y
483.600425,574.193697
490.213597,586.884446
472.563870,587.402959
487.662713,613.546908
512.050870,598.067317
494.076823,619.804581
501.957384,585.596314
508.908699,635.472367
484.709663,621.417385
484.431617,607.139647
490.782111,627.790574
479.244631,605.241348
425.022547,621.001201
450.372939,628.428033
448.272736,636.219673
461.408826,628.961781
433.951145,622.704124
442.614803,661.100626
444.859469,622.569311
449.506407,668.482475
427.879578,656.167903
415.504769,661.798490
387.024197,678.941737
414.185783,701.856216
383.850361,645.986895
384.921271,676.083560
372.450513,681.948242
315.343971,667.050172
328.280655,674.908972
340.884014,719.052837
337.350724,691.663753
294.930850,677.277527
325.327451,675.716135
310.913075,716.807701
342.887952,667.395118
330.724395,705.220322
330.724395,705.220322
330.724395,705.220322
324.040352,675.444936
324.040352,675.444936
324.040352,675.444936
324.040352,675.444936
311.104329,678.587098
305.247886,691.812539
324.738753,692.077995
333.041911,677.230701
319.306703,695.175003
328.450582,706.037370
362.270964,688.170201
333.666768,699.126000
353.042568,703.382900
363.486498,692.971800
360.695799,710.372436
368.742447,733.993489
378.488632,718.951123
410.522503,718.477138
399.123144,730.133456
389.589903,732.337211
405.227297,721.051790
404.970445,734.998429
432.851106,740.430362
426.678563,746.983353
423.331709,739.804294
404.857926,773.788719
449.499733,748.579817
474.021610,760.999080
424.976305,727.887751
430.597114,700.634439
438.891178,701.825197
422.499709,704.553259
445.203529,709.962586
446.807660,698.972431
467.052702,711.801306
466.721391,727.244484
464.225637,715.557292
479.286771,711.650834
471.085559,723.654280
501.716102,728.315524
495.177802,717.340277
503.981503,735.023733
487.862127,722.186731
477.146174,720.832789
490.034391,732.523221
503.515436,733.616258
487.346353,732.171963
500.598675,721.889404
494.958075,724.409363
489.933414,742.263090
504.562538,726.895993
485.476287,726.217714
503.938024,729.047395
493.791767,732.929257
494.993944,722.522441
510.005112,723.065132
493.648426,730.391591
499.671790,705.429791
480.919128,696.024819
476.256411,700.442571
489.084092,706.423704
469.886982,698.993115
477.902849,694.550459
458.964548,687.205974
442.746612,687.700868
470.436119,655.437425
427.581203,644.984606
438.064572,622.440847
421.306005,652.642527
476.014857,654.195054
487.999619,648.379615
484.225446,644.365767
465.659392,642.771040
475.105971,666.327497
468.342354,632.985935
471.188658,595.126212
456.580409,640.894718
503.559080,644.444736
490.063966,609.901592
467.881219,616.496764
471.238951,621.568348
471.218396,596.541282
459.377625,603.679477
480.065494,596.299605
472.819507,581.954884
484.684316,586.563549
453.899546,553.865961
449.849728,558.357406
473.998869,596.854088
472.883301,593.883617
471.582312,595.991991
462.224017,590.322338
474.125114,569.063400
468.669614,579.302331
469.512131,567.324191
476.669907,552.784835
472.803619,555.698243
472.249443,543.668040
452.869831,532.156825
471.161703,532.270668
462.908587,520.586254
438.733352,535.958961
450.607393,490.980035
460.419755,507.594475
450.871859,511.240087
464.273330,493.605503
452.936551,489.572241
465.665019,487.108336
467.285006,479.598096
461.954321,482.951853
439.991287,467.086987
469.235495,460.527487
459.866927,445.432886
451.266942,434.151725
455.518196,419.304156
468.043565,431.995352
456.302413,427.039941
465.622975,401.350516
461.595913,397.476833
457.029260,399.926669
451.045203,396.492217
441.474642,378.213182
450.404306,377.087951
464.106440,387.139135
467.536822,359.387868
450.590195,348.593679
455.484389,347.651161
445.486027,339.316163
460.308716,344.486151
463.376176,342.452332
453.649189,339.723426
439.071852,329.682824
437.322145,326.999631
440.349596,312.748092
448.055002,310.145159
425.348550,288.454386
441.843233,315.017893
413.431118,301.544101
426.232370,306.682281
432.301136,298.427701
423.223280,292.697253
415.032053,287.393655
403.907929,278.507389
395.880300,298.538137
391.259425,268.370679
374.802600,248.655472
420.647646,259.387188
410.799966,265.305042
397.129338,259.966041
410.879964,241.054601
387.956057,245.053534
390.080490,233.195012
434.854387,211.689426
404.308410,227.370261
429.224255,210.107457
387.950944,213.368290
394.983944,197.992715
425.591779,198.718119
402.508695,192.742847
410.863183,185.901084
366.150298,229.737077
382.470450,223.072038
387.141799,186.960574
379.194770,190.348474
380.162390,258.643508
380.983112,261.785142
362.067928,233.891830
342.401566,206.597184
365.959673,199.572292
383.733394,234.468423
282.777525,276.449495
332.587060,254.709604
352.653584,195.447150
358.859127,199.352105
348.322632,204.598576
323.464950,202.761567
327.430717,212.504946
360.408180,331.288065
343.849523,225.770844
324.070811,193.371035
316.106850,254.872872
306.798064,254.826749
321.250112,291.421728
325.269231,273.278678
315.749671,249.491653
314.068117,302.481515
291.789319,279.577985
330.237369,281.109426
300.343189,276.129031
309.305304,251.166868
295.144531,300.201263
270.678487,293.366344
272.320540,276.008632
250.754298,305.441446
280.891351,311.063652
288.935351,295.864504
279.691555,288.657898
274.835414,321.588296
265.641246,276.189633
298.607833,305.679736
263.611185,310.945604
281.120749,281.984075
268.833571,274.948429
332.217579,323.150135
307.458473,290.508031
304.981369,286.642538
281.111180,358.729584
278.442289,354.318928
314.971113,319.408067
326.181372,296.770454
275.300916,323.469186
308.925018,318.662930
277.977798,374.091958
252.396092,295.553570
252.396092,295.553570
302.294666,295.661806
302.294666,295.661806
298.078451,282.479678
274.234592,293.737501
276.299773,270.656982
288.949319,292.228620
258.071821,283.941868
288.940288,300.798762
277.749432,313.918250
352.259312,319.709420
313.296623,313.167978
307.409861,336.407325
367.760618,259.883118
335.277558,267.132809
329.876416,257.941638
352.129864,279.778118
320.146566,286.417887
352.522910,276.099659
