x,y
1155.624032,545.753563
1157.681599,556.443721
1162.078981,568.027301
1162.252592,574.406535
1161.930668,584.861030
1158.809103,583.122601
1151.827847,581.961090
1143.151023,573.246847
1133.306476,563.415023
1124.592865,551.607409
1112.961207,539.152953
1104.801404,531.011780
1100.191396,521.547289
1099.920473,506.218325
1101.238025,491.463127
1101.718771,469.900319
1099.753321,447.802649
1099.229655,429.246295
1096.039955,409.149045
1089.187529,387.859722
1084.088703,369.817463
1080.691988,351.709381
1074.946170,334.241025
1071.228823,318.563804
1068.275259,305.805222
1066.353652,291.966867
1064.732888,274.294139
1063.183123,259.245243
1060.257658,243.286250
1059.734339,229.442562
1059.465326,218.220835
1056.611437,212.203601
1059.713945,200.193283
1055.712635,195.114062
1048.981453,187.350047
1040.286774,182.119624
1032.009227,182.632033
1021.220967,187.909511
1010.572333,191.390531
996.724027,196.795131
983.245174,202.588814
972.373978,204.807053
960.583857,209.890747
951.318696,216.861784
936.902991,221.167681
920.459617,225.586932
900.793274,231.931936
878.081902,236.193778
857.106648,239.378159
841.701894,250.457459
827.292555,264.932330
816.182706,272.721086
805.288208,282.590313
796.142352,294.444854
791.405822,306.202246
783.366176,320.436402
780.005913,335.266008
779.306702,348.573612
776.855511,369.048418
775.327031,387.769324
772.444267,407.598557
770.750362,422.690902
771.270135,443.202758
776.877551,466.635006
775.812695,485.953833
774.855910,501.973556
779.324483,521.368732
781.772442,538.942118
777.876275,552.279568
771.982741,563.621364
768.983022,571.605357
766.848315,580.862272
764.832979,585.717314
765.402736,587.549880
766.571142,588.186295
767.182105,584.783531
766.371953,578.985195
766.360658,569.439224
765.733170,560.963875
762.647791,547.959268
762.836214,534.048890
763.868583,521.957320
768.338680,506.781166
771.585113,493.820548
777.039986,474.531424
782.102040,461.495666
788.600549,448.884846
798.083774,435.668128
812.452507,421.960881
826.244959,414.610787
837.601053,408.340130
850.349984,403.460927
863.395874,399.163627
876.797201,396.711264
887.276474,395.027509
892.173727,391.543994
899.591257,386.964139
903.999516,384.760484
908.293731,383.409327
911.560900,382.174954
905.803280,383.107572
899.805692,385.154987
887.295387,383.817685
876.416016,384.203173
860.103511,389.759176
845.295349,394.855609
832.877044,395.590344
817.143496,398.083947
805.102124,397.486299
787.095440,393.211387
776.134929,393.211221
766.777163,393.205396
757.245914,395.231077
744.412122,399.780754
